"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2015-09,7073,monthly,156162,2015-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2015-09,80192,monthly,204263,2015-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-09,10686,monthly,470754,2015-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2015-09,9734,monthly,132859,2015-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2015-09,7165,monthly,136136,2015-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2015-10,8037,monthly,157700,2015-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2015-10,88132,monthly,204572,2015-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-10,10926,monthly,471562,2015-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2015-10,10998,monthly,132220,2015-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2015-10,8067,monthly,135844,2015-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2015-11,7281,monthly,158364,2015-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2015-11,78861,monthly,206293,2015-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-11,9752,monthly,476915,2015-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2015-11,9764,monthly,132916,2015-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2015-11,7271,monthly,136513,2015-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2015-12,7640,monthly,158962,2015-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2015-12,80366,monthly,207315,2015-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2015-12,9700,monthly,481806,2015-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2015-12,9806,monthly,132950,2015-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2015-12,7426,monthly,136979,2015-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2016-01,5414,monthly,158831,2016-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2016-01,59992,monthly,208050,2016-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-01,7927,monthly,489741,2016-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2016-01,7255,monthly,133204,2016-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2016-01,5378,monthly,136097,2016-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2016-02,5805,monthly,158290,2016-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2016-02,65124,monthly,208301,2016-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-02,8208,monthly,490055,2016-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2016-02,8119,monthly,133083,2016-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2016-02,5777,monthly,136539,2016-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2016-03,10702,monthly,159052,2016-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2016-03,119302,monthly,210224,2016-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-03,17501,monthly,497430,2016-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2016-03,14602,monthly,131630,2016-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2016-03,10252,monthly,135373,2016-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2016-04,5087,monthly,161689,2016-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2016-04,52590,monthly,211282,2016-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-04,5746,monthly,493598,2016-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2016-04,7127,monthly,136500,2016-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2016-04,5329,monthly,139439,2016-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2016-05,5824,monthly,162514,2016-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2016-05,60179,monthly,213723,2016-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-05,6617,monthly,500467,2016-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2016-05,7780,monthly,137497,2016-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2016-05,5981,monthly,139973,2016-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2016-06,7044,monthly,163785,2016-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2016-06,74259,monthly,215668,2016-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-06,8464,monthly,501147,2016-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2016-06,9313,monthly,137892,2016-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2016-06,7170,monthly,141514,2016-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2016-07,7101,monthly,165414,2016-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2016-07,77919,monthly,217970,2016-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-07,8794,monthly,509080,2016-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2016-07,10423,monthly,139906,2016-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2016-07,7520,monthly,142441,2016-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2016-08,7540,monthly,166249,2016-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2016-08,79655,monthly,218261,2016-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-08,8535,monthly,505256,2016-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2016-08,10215,monthly,139750,2016-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2016-08,7748,monthly,142584,2016-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2016-09,7437,monthly,166849,2016-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2016-09,76114,monthly,217952,2016-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-09,8275,monthly,505052,2016-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2016-09,9874,monthly,139624,2016-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2016-09,7277,monthly,141674,2016-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2016-10,6766,monthly,166085,2016-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2016-10,70825,monthly,217098,2016-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-10,8100,monthly,504240,2016-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2016-10,9427,monthly,138036,2016-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2016-10,6568,monthly,141522,2016-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2016-11,7172,monthly,167427,2016-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2016-11,74097,monthly,218146,2016-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-11,8178,monthly,504074,2016-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2016-11,10014,monthly,139331,2016-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2016-11,7111,monthly,142333,2016-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2016-12,7739,monthly,168191,2016-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2016-12,79605,monthly,218965,2016-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-12,8460,monthly,505701,2016-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2016-12,10679,monthly,139179,2016-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2016-12,7761,monthly,143617,2016-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2017-01,5178,monthly,166547,2017-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2017-01,57498,monthly,218655,2017-01-01
